id;method;complexity;numberOfConjunctions;numberOfParameters;result;timeInMillis;correct
0;1;8;3;13;0;60435;1
1;1;12;3;15;1;8046;1
2;1;8;2;12;0;6836;1
3;1;11;3;16;1;7536;0
4;1;10;3;16;0;8634;1
5;1;9;3;15;1;7447;1
6;1;10;2;13;0;6248;1
7;1;9;3;15;0;6366;1
8;1;8;3;14;1;7510;0
9;1;11;3;14;0;6180;1
10;1;8;2;12;1;4728;0
11;1;8;3;11;1;5901;1
12;1;11;3;14;1;4680;0
13;1;8;2;13;0;5414;1
14;1;8;3;12;1;4275;1
15;1;11;3;17;0;5079;1
16;1;11;2;15;1;3973;1
17;1;8;2;12;0;6286;1
18;1;12;2;16;0;4818;1
19;1;11;2;17;1;7724;1
20;1;11;3;14;1;4961;1
21;1;11;3;16;0;6099;1
22;1;10;2;15;1;5416;1
23;1;12;3;16;1;5876;0
24;1;10;2;14;0;6610;1
25;1;10;2;15;1;4847;0
26;1;9;2;14;0;4732;1
27;1;9;3;14;0;5753;1
28;1;8;3;13;0;4338;1
29;1;10;3;15;1;5149;1
30;1;9;2;12;1;3522;1
31;1;10;3;14;1;5020;0
32;1;8;3;12;0;4434;1
33;1;9;2;15;1;4848;1
34;1;12;2;15;1;5034;1
35;1;8;3;13;1;5278;1
36;1;11;3;17;0;7158;1
37;1;8;2;13;0;6349;1
38;1;9;3;14;1;3015;1
39;1;10;2;16;0;4862;1
40;1;8;3;12;1;2994;1
41;1;8;2;14;1;3049;0
42;1;12;2;18;0;4647;1
43;1;11;3;14;0;6006;1
0;0;8;3;13;0;12774;1
1;0;12;3;15;1;4223;1
2;0;8;2;12;0;3773;1
3;0;11;3;16;1;4002;0
4;0;10;3;16;0;5201;1
5;0;9;3;15;1;2917;1
6;0;10;2;13;0;4059;1
7;0;9;3;15;0;3729;1
8;0;8;3;14;1;4390;0
9;0;11;3;14;0;4288;1
10;0;8;2;12;1;3398;0
11;0;8;3;11;1;3206;1
12;0;11;3;14;1;4776;0
13;0;8;2;13;0;5453;1
14;0;8;3;12;1;3669;1
15;0;11;3;17;0;4954;1
16;0;11;2;15;1;4117;1
17;0;8;2;12;0;3645;1
18;0;12;2;16;0;4584;1
19;0;11;2;17;1;5173;1
20;0;11;3;14;1;3644;1
21;0;11;3;16;0;6067;1
22;0;10;2;15;1;3308;1
23;0;12;3;16;1;4579;0
24;0;10;2;14;0;5309;1
25;0;10;2;15;1;4676;0
26;0;9;2;14;0;5019;1
27;0;9;3;14;0;4021;1
28;0;8;3;13;0;4182;1
29;0;10;3;15;1;4427;1
30;0;9;2;12;1;3305;1
31;0;10;3;14;1;4866;0
32;0;8;3;12;0;9412;1
33;0;9;2;15;1;3337;1
34;0;12;2;15;1;5629;1
35;0;8;3;13;1;3829;1
36;0;11;3;17;0;4223;1
37;0;8;2;13;0;3484;1
38;0;9;3;14;1;3298;1
39;0;10;2;16;0;4650;1
40;0;8;3;12;1;3617;1
41;0;8;2;14;1;5283;0
42;0;12;2;18;0;3839;0
43;0;11;3;14;0;4545;1
44;0;12;2;15;1;4487;1
45;0;9;3;14;1;2803;1
46;0;9;2;15;0;3691;1
47;0;9;2;15;0;4277;1
48;0;12;2;16;0;4585;1
49;0;11;3;17;1;4458;1
50;0;8;2;13;0;4095;1
51;0;12;3;17;0;4894;1
52;0;11;2;17;0;3695;1
53;0;9;3;12;0;4717;1
54;0;10;2;14;1;4104;0
55;0;12;3;16;0;4681;1
56;0;11;2;16;0;4249;1
57;0;11;3;15;1;1615;1
58;0;10;2;14;1;1917;1
59;0;9;2;14;0;4513;1
60;0;9;2;15;1;3789;0
61;0;9;3;12;1;1442;1
62;0;8;3;13;0;3537;1
63;0;10;3;14;1;2726;0
64;0;11;3;16;0;4313;1
65;0;10;2;14;1;3076;0
66;0;10;2;14;1;2508;0
67;0;10;3;16;0;4196;1
68;0;10;2;13;1;2121;0
